"Species1","Species2","n_virus"
"Canis lupus","Chaetophractus vellerosus",1
"Canis lupus","Leopardus geoffroyi",1
"Canis lupus","Myrmecophaga tridactyla",1
"Canis lupus","Oligoryzomys nigripes",1
"Canis lupus","Panthera leo",1
"Canis lupus","Pongo pygmaeus",1
"Canis lupus","Puma concolor",1
"Canis lupus","Rattus norvegicus",1
"Canis lupus","Zalophus californianus",1
"Chaetophractus vellerosus","Leopardus geoffroyi",1
"Chaetophractus vellerosus","Myrmecophaga tridactyla",1
"Chaetophractus vellerosus","Oligoryzomys nigripes",1
"Chaetophractus vellerosus","Panthera leo",1
"Chaetophractus vellerosus","Pongo pygmaeus",1
"Chaetophractus vellerosus","Puma concolor",1
"Chaetophractus vellerosus","Rattus norvegicus",1
"Chaetophractus vellerosus","Zalophus californianus",1
"Leopardus geoffroyi","Myrmecophaga tridactyla",1
"Leopardus geoffroyi","Oligoryzomys nigripes",1
"Leopardus geoffroyi","Panthera leo",1
"Leopardus geoffroyi","Pongo pygmaeus",1
"Leopardus geoffroyi","Puma concolor",1
"Leopardus geoffroyi","Rattus norvegicus",1
"Leopardus geoffroyi","Zalophus californianus",1
"Myrmecophaga tridactyla","Oligoryzomys nigripes",1
"Myrmecophaga tridactyla","Panthera leo",1
"Myrmecophaga tridactyla","Pongo pygmaeus",1
"Myrmecophaga tridactyla","Puma concolor",1
"Myrmecophaga tridactyla","Rattus norvegicus",1
"Myrmecophaga tridactyla","Zalophus californianus",1
"Oligoryzomys nigripes","Panthera leo",1
"Oligoryzomys nigripes","Pongo pygmaeus",1
"Oligoryzomys nigripes","Puma concolor",1
"Oligoryzomys nigripes","Rattus norvegicus",1
"Oligoryzomys nigripes","Zalophus californianus",1
"Panthera leo","Pongo pygmaeus",1
"Panthera leo","Puma concolor",1
"Panthera leo","Rattus norvegicus",1
"Panthera leo","Zalophus californianus",1
"Pongo pygmaeus","Puma concolor",1
"Pongo pygmaeus","Rattus norvegicus",1
"Pongo pygmaeus","Zalophus californianus",1
"Puma concolor","Rattus norvegicus",1
"Puma concolor","Zalophus californianus",1
"Rattus norvegicus","Zalophus californianus",1
