"GID_0","NAME_0","COUNTRY","CONTINENT"
"AFG","Afghanistan","Afghanistan","Asia"
"XAD","Akrotiri and Dhekelia","Akrotiri and Dhekelia","Asia"
"Z03","Aksai Chin","China","Asia"
"ALA","Åland","Åland","Europe"
"ALB","Albania","Albania","Europe"
"DZA","Algeria","Algeria","Africa"
"ASM","American Samoa","American Samoa","Oceania"
"AND","Andorra","Andorra","Europe"
"AGO","Angola","Angola","Africa"
"AIA","Anguilla","Anguilla","North America"
"ATA","Antarctica","Antarctica","Antarctica"
"ATG","Antigua and Barbuda","Antigua and Barbuda","North America"
"ARG","Argentina","Argentina","South America"
"ARM","Armenia","Armenia","Asia"
"ABW","Aruba","Aruba","South America"
"Z07","Arunachal Pradesh","India","Asia"
"AUS","Australia","Australia","Australia"
"AUT","Austria","Austria","Europe"
"Z06","Azad Kashmir","Pakistan","Asia"
"AZE","Azerbaijan","Azerbaijan","Asia"
"AZE","Azerbaijan","Azerbaijan","Europe"
"BHS","Bahamas","Bahamas","North America"
"BHR","Bahrain","Bahrain","Asia"
"BGD","Bangladesh","Bangladesh","Asia"
"BRB","Barbados","Barbados","North America"
"BLR","Belarus","Belarus","Europe"
"BEL","Belgium","Belgium","Europe"
"BLZ","Belize","Belize","North America"
"BEN","Benin","Benin","Africa"
"BMU","Bermuda","Bermuda","North America"
"BTN","Bhutan","Bhutan","Asia"
"BOL","Bolivia","Bolivia","South America"
"BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","South America"
"BES","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","North America"
"BIH","Bosnia and Herzegovina","Bosnia and Herzegovina","Europe"
"BWA","Botswana","Botswana","Africa"
"BVT","Bouvet Island","Bouvet Island","Antarctica"
"BRA","Brazil","Brazil","South America"
"BRA","Brazil","Brazil","Africa"
"IOT","British Indian Ocean Territory","British Indian Ocean Territory","Asia"
"VGB","British Virgin Islands","British Virgin Islands","North America"
"BRN","Brunei","Brunei","Asia"
"BGR","Bulgaria","Bulgaria","Europe"
"BFA","Burkina Faso","Burkina Faso","Africa"
"BDI","Burundi","Burundi","Africa"
"CPV","Cabo Verde","Cabo Verde","Africa"
"KHM","Cambodia","Cambodia","Asia"
"CMR","Cameroon","Cameroon","Africa"
"CAN","Canada","Canada","North America"
"XCA","Caspian Sea","Caspian Sea","Asia"
"CYM","Cayman Islands","Cayman Islands","North America"
"CAF","Central African Republic","Central African Republic","Africa"
"TCD","Chad","Chad","Africa"
"CHL","Chile","Chile","South America"
"CHL","Chile","Chile","Oceania"
"CHN","China","China","Asia"
"CXR","Christmas Island","Christmas Island","Asia"
"XCL","Clipperton Island","Clipperton Island","North America"
"CCK","Cocos Islands","Cocos Islands","Asia"
"COL","Colombia","Colombia","South America"
"COL","Colombia","Colombia","North America"
"COM","Comoros","Comoros","Africa"
"COK","Cook Islands","Cook Islands","Oceania"
"CRI","Costa Rica","Costa Rica","North America"
"CRI","Costa Rica","Costa Rica","South America"
"CIV","Côte d'Ivoire","Côte d'Ivoire","Africa"
"HRV","Croatia","Croatia","Europe"
"CUB","Cuba","Cuba","North America"
"CUW","Curaçao","Curaçao","South America"
"CYP","Cyprus","Cyprus","Asia"
"CZE","Czechia","Czechia","Europe"
"COD","Democratic Republic of the Congo","Democratic Republic of the Congo","Africa"
"DNK","Denmark","Denmark","Europe"
"DJI","Djibouti","Djibouti","Africa"
"DMA","Dominica","Dominica","North America"
"DOM","Dominican Republic","Dominican Republic","North America"
"ECU","Ecuador","Ecuador","South America"
"EGY","Egypt","Egypt","Africa"
"EGY","Egypt","Egypt","Asia"
"SLV","El Salvador","El Salvador","North America"
